
Host: ed2

HF: Form C  :       0.00u       0.00s   0.000677w      9 calls
HF: Form D  :       0.00u       0.00s   0.000018w      9 calls

***********************************************************

Host: ed2

Timers On : Tue Mar 28 14:58:10 2017
Timers Off: Tue Mar 28 14:58:11 2017

Wall Time:        1.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.001763w      4 calls
JK: (A|Q)^-1/2:       0.10u       0.00s   0.093221w      4 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000676w      4 calls
HF: Form H  :       0.00u       0.00s 0.00769600w      1 call
HF: Form S/X:       0.00u       0.00s 0.00007600w      1 call
HF: Guess   :       0.12u       0.00s 0.11712400w      1 call
SAD Guess   :       0.11u       0.00s 0.11195700w      1 call
JK: D       :       0.00u       0.00s   0.000357w    268 calls
JK: USO2AO  :       0.00u       0.00s   0.000344w    268 calls
JK: JK      :       0.02u       0.00s   0.051648w    268 calls
JK: J       :       0.00u       0.00s   0.003375w    268 calls
JK: J1      :       0.00u       0.00s   0.001430w    527 calls
JK: J2      :       0.00u       0.00s   0.001576w    527 calls
JK: K       :       0.02u       0.00s   0.044971w    268 calls
JK: K1      :       0.01u       0.00s   0.027833w    780 calls
JK: K2      :       0.01u       0.00s   0.016704w    525 calls
JK: AO2USO  :       0.00u       0.00s   0.000073w    268 calls
DIISManager::add_entry:       0.00u       0.00s   0.001769w     12 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000288w     11 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000063w     11 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000137w     11 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000067w     11 calls
HF: Form G  :       0.00u       0.00s   0.000720w      9 calls
HF: Form F  :       0.00u       0.00s   0.000014w      9 calls
HF: DIIS    :       0.00u       0.00s   0.002060w      9 calls
HF: Form C  :       0.00u       0.00s   0.000225w      9 calls
HF: Form D  :       0.00u       0.00s   0.000007w      9 calls

***********************************************************

Host: ed2

Timers On : Tue Mar 28 15:05:31 2017
Timers Off: Tue Mar 28 15:05:38 2017

Wall Time:        7.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.001781w      4 calls
JK: (A|Q)^-1/2:       0.08u       0.00s   0.093418w      4 calls
JK: (Q|mn)  :       0.01u       0.00s   0.000674w      4 calls
HF: Form H  :       0.00u       0.00s 0.00745500w      1 call
HF: Form S/X:       0.00u       0.00s 0.00009700w      1 call
HF: Guess   :       0.12u       0.00s 0.11561300w      1 call
SAD Guess   :       0.11u       0.00s 0.10957200w      1 call
JK: D       :       0.06u       0.01s   0.027428w  25018 calls
JK: USO2AO  :       0.03u       0.00s   0.026067w  25018 calls
JK: JK      :       4.79u       0.11s   4.983119w  25018 calls
JK: J       :       0.19u       0.02s   0.324122w  25018 calls
JK: J1      :       0.07u       0.00s   0.139029w  50027 calls
JK: J2      :       0.07u       0.02s   0.153627w  50027 calls
JK: K       :       4.28u       0.09s   4.381349w  25018 calls
JK: K1      :       2.58u       0.07s   2.715554w  75030 calls
JK: K2      :       1.68u       0.02s   1.623374w  50025 calls
JK: AO2USO  :       0.00u       0.00s   0.006211w  25018 calls
DIISManager::add_entry:       0.00u       0.01s   0.001785w     12 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000288w     11 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000063w     11 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000137w     11 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000067w     11 calls
HF: Form G  :       0.00u       0.00s   0.000708w      9 calls
HF: Form F  :       0.00u       0.00s   0.000015w      9 calls
HF: DIIS    :       0.00u       0.01s   0.002079w      9 calls
HF: Form C  :       0.00u       0.00s   0.000225w      9 calls
HF: Form D  :       0.00u       0.00s   0.000005w      9 calls

***********************************************************

Host: ed2

Timers On : Tue Mar 28 15:46:23 2017
Timers Off: Tue Mar 28 15:46:24 2017

Wall Time:        1.00 seconds


***********************************************************

Host: ed2

Timers On : Tue Mar 28 19:11:15 2017
Timers Off: Tue Mar 28 19:11:38 2017

